Date,2yr-10yr_UST,2yr_tsy,3yr_tsy,5yr_tsy,10yr_tsy,30yr_tsy,2yr_swap ,3yr_swap,5yr_swap,10yr_swap,30yr_swap,FN_2.5%_OAS,FN_3.0%_OAS,FN_3.5%_OAS,FN_4.0%_OAS,FN_4.5%_OAS,FN_5.0%_OAS,30_YR_Survey_Rate
18-May-05,0.512053,3.557235,3.658035,3.770965,4.069288,4.430795,3.94455,4.06553,4.22347,4.52179,4.8808,,,,16.306091,-0.788276,-4.0312,
19-May-05,0.479274,3.628349,3.724741,3.836693,4.107623,4.442864,4.00481,4.12767,4.28669,4.55762,4.89286,,,,16.563839,0.3077,-2.805589,
20-May-05,0.454506,3.670386,3.766526,3.869607,4.124892,4.436188,4.05147,4.17816,4.31961,4.57489,4.88619,,,,16.385445,0.285894,-1.636153,
23-May-05,0.442857,3.628222,3.718937,3.822636,4.071079,4.386976,4.00801,4.1274,4.26514,4.5616,4.83948,,,,17.224705,0.178339,-2.375772,
24-May-05,0.437963,3.598644,3.679726,3.780935,4.036607,4.363904,3.97631,4.0867,4.21843,4.47411,4.8139,,,,18.582783,1.045421,-2.301059,
25-May-05,0.474764,3.594349,3.679636,3.796487,4.069113,4.41186,3.96357,4.0754,4.22399,4.49661,4.84936,,,,17.836876,1.05521,-1.472335,
26-May-05,0.443864,3.634816,3.707556,3.819021,4.07868,4.427609,3.99532,4.09787,4.23652,4.49868,4.85511,,,,16.725388,-0.023202,-2.041039,
27-May-05,0.43175,3.643001,3.707294,3.813608,4.074751,4.427414,3.99882,4.10128,4.23111,4.49475,4.85241,,,,16.344217,-0.515472,-2.55375,
31-May-05,0.409914,3.593996,3.650995,3.756135,4.00391,4.346108,3.94948,4.04451,4.17114,4.42141,4.76611,,,,16.3575,-2.253332,-4.678761,
01-Jun-05,0.417171,3.491737,3.541433,3.636482,3.908908,4.26613,3.83796,3.92249,4.04148,4.31391,4.67613,,,,16.890659,-4.20668,-7.148132,
02-Jun-05,0.377798,3.512158,3.555247,3.641532,3.889956,4.228384,3.85352,3.93542,4.04903,4.29746,4.64588,,,,18.755882,-2.422279,-4.150238,
03-Jun-05,0.407331,3.569691,3.622232,3.729643,3.977022,4.283955,3.89936,3.99477,4.13964,4.38952,4.71145,,,,17.530045,-1.704365,-1.16193,
06-Jun-05,0.381856,3.57799,3.627738,3.726074,3.959846,4.249652,3.91521,4.00633,4.13107,4.36735,4.68715,,,,19.95009,0.432578,0.344985,
07-Jun-05,0.354936,3.557411,3.599379,3.685984,3.912347,4.194229,3.88617,3.97299,4.08848,4.31735,4.62923,,,,18.022655,-3.216494,-5.080197,
08-Jun-05,0.335909,3.602934,3.64161,3.722409,3.938843,4.22356,3.93143,4.01733,4.12241,4.33884,4.65356,,,,18.214787,-2.489521,-6.704848,
09-Jun-05,0.335617,3.627897,3.669807,3.754625,3.963514,4.24499,3.96907,4.05115,4.15712,4.36601,4.67749,,,,15.102692,-4.081465,-0.313727,
10-Jun-05,0.340759,3.699107,3.746311,3.832825,4.039866,4.318978,4.05054,4.13644,4.24283,4.44987,4.75898,,,,13.687773,-4.461189,-0.122425,
13-Jun-05,0.388604,3.699335,3.757687,3.862452,4.087939,4.368391,4.05141,4.14862,4.27745,4.50544,4.81089,,,,12.370096,-4.787189,-0.766047,
14-Jun-05,0.427006,3.699565,3.766233,3.886884,4.126571,4.426697,4.05977,4.16629,4.30688,4.54907,4.8742,,,,10.111815,-6.167121,-4.381587,
